team_id,status,bootstrap_months,first_bootstrap_hkt,last_refresh_hkt,last_mode,successful_months,history_games
50000004,BOOTSTRAPPED,12,2026-09-18T23:00:46+08:00,2026-09-19T09:07:35+08:00,REFRESH,2,47
50000008,PENDING,12,,,DEFERRED_BUDGET,,0
50000023,PENDING,12,,,DEFERRED_BUDGET,,0
50000026,PENDING,12,,,DEFERRED_BUDGET,,0
50000039,PENDING,12,,,DEFERRED_BUDGET,,1
50000086,BOOTSTRAPPED,2,2026-09-21T16:26:22+08:00,2026-09-21T17:26:28+08:00,REFRESH,2,4
50000087,BOOTSTRAPPED,2,2026-09-21T16:26:22+08:00,2026-09-21T17:26:28+08:00,REFRESH,2,4
50000097,PENDING,12,,,DEFERRED_BUDGET,,0
50000100,PENDING,12,,,DEFERRED_BUDGET,,0
50000111,PENDING,12,,,DEFERRED_BUDGET,,0
50000121,BOOTSTRAPPED,12,2026-09-18T23:00:46+08:00,2026-09-19T09:07:35+08:00,REFRESH,2,37
50000127,BOOTSTRAPPED,12,2026-09-18T23:00:46+08:00,2026-09-19T09:07:35+08:00,REFRESH,2,30
50000131,BOOTSTRAPPED,2,2026-09-21T11:40:16+08:00,2026-09-21T17:26:28+08:00,REFRESH,2,12
50000155,BOOTSTRAPPED,12,2026-09-18T23:00:46+08:00,2026-09-19T09:07:35+08:00,REFRESH,2,45
50000163,PENDING,12,,,DEFERRED_BUDGET,,0
50000182,BOOTSTRAPPED,12,2026-09-18T23:49:43+08:00,2026-09-19T09:07:35+08:00,REFRESH,2,35
50000187,PENDING,12,,,DEFERRED_BUDGET,,1
50000228,PENDING,12,,,DEFERRED_BUDGET,,5
50000231,PENDING,12,,,DEFERRED_BUDGET,,2
50000249,BOOTSTRAPPED,12,2026-09-18T23:49:43+08:00,2026-09-19T09:07:35+08:00,REFRESH,2,60
50000252,PENDING,12,,,DEFERRED_BUDGET,,2
50000253,PENDING,12,,,DEFERRED_BUDGET,,11
50000255,PENDING,12,,,DEFERRED_BUDGET,,0
50000257,BOOTSTRAPPED,12,2026-09-18T23:49:43+08:00,2026-09-19T09:07:35+08:00,REFRESH,2,34
50000267,PENDING,12,,,DEFERRED_BUDGET,,1
50000276,BOOTSTRAPPED,12,2026-09-16T07:05:00+08:00,2026-09-16T09:20:00+08:00,REFRESH,2,59
50000281,BOOTSTRAPPED,12,2026-09-20T13:35:55+08:00,2026-09-20T13:35:55+08:00,BOOTSTRAP,12,35
50000283,BOOTSTRAPPED,12,2026-09-16T07:05:00+08:00,2026-09-21T17:26:28+08:00,REFRESH,2,34
50000298,PENDING,12,,,DEFERRED_BUDGET,,2
50000320,PENDING,2,,,DEFERRED_BUDGET,,0
50000326,PENDING,12,,,DEFERRED_BUDGET,,0
50000333,BOOTSTRAPPED,12,2026-09-18T23:49:43+08:00,2026-09-19T09:07:35+08:00,REFRESH,2,37
50000342,PENDING,12,,,DEFERRED_BUDGET,,3
50000347,PENDING,12,,,DEFERRED_BUDGET,,15
50000360,PENDING,12,,,DEFERRED_BUDGET,,3
50000365,PENDING,12,,,DEFERRED_BUDGET,,0
50000398,BOOTSTRAPPED,2,2026-09-21T11:40:16+08:00,2026-09-21T17:36:36+08:00,REFRESH,2,13
50000401,PENDING,12,,,DEFERRED_BUDGET,,1
50000407,BOOTSTRAPPED,12,2026-09-19T02:02:17+08:00,2026-09-19T09:07:35+08:00,REFRESH,2,57
50000445,PENDING,12,,,DEFERRED_BUDGET,,5
50000449,PENDING,12,,,DEFERRED_BUDGET,,0
50000462,PENDING,12,,,DEFERRED_BUDGET,,2
50000464,PENDING,12,,,DEFERRED_BUDGET,,1
50000471,BOOTSTRAPPED,2,2026-09-21T17:26:28+08:00,2026-09-21T17:26:28+08:00,BOOTSTRAP,2,6
50000474,BOOTSTRAPPED,12,2026-09-19T02:02:17+08:00,2026-09-19T09:07:35+08:00,REFRESH,2,32
50000481,PENDING,12,,,DEFERRED_BUDGET,,7
50000482,PENDING,12,,,DEFERRED_BUDGET,,3
50000483,PENDING,12,,,DEFERRED_BUDGET,,1
50000490,PENDING,12,,,DEFERRED_BUDGET,,0
50000502,BOOTSTRAPPED,12,2026-09-16T07:05:00+08:00,2026-09-16T09:20:00+08:00,REFRESH,2,53
50000510,PENDING,12,,,DEFERRED_BUDGET,,5
50000515,PENDING,12,,,DEFERRED_BUDGET,,0
50000518,PENDING,12,,,DEFERRED_BUDGET,,0
50000523,BOOTSTRAPPED,12,2026-09-19T02:02:17+08:00,2026-09-19T09:07:35+08:00,REFRESH,2,33
50000570,BOOTSTRAPPED,12,2026-09-19T02:02:17+08:00,2026-09-19T09:07:35+08:00,REFRESH,2,45
50000572,PENDING,12,,,DEFERRED_BUDGET,,0
50000577,BOOTSTRAPPED,12,2026-09-19T09:07:35+08:00,2026-09-19T09:07:35+08:00,BOOTSTRAP,12,50
50000583,PENDING,12,,,DEFERRED_BUDGET,,0
50000586,PENDING,12,,,DEFERRED_BUDGET,,6
50000597,PENDING,12,,,DEFERRED_BUDGET,,1
50000598,PENDING,12,,,DEFERRED_BUDGET,,1
50000607,BOOTSTRAPPED,12,2026-09-19T09:07:35+08:00,2026-09-19T09:07:35+08:00,BOOTSTRAP,12,23
50000612,BOOTSTRAPPED,12,2026-09-19T09:07:35+08:00,2026-09-19T09:07:35+08:00,BOOTSTRAP,12,35
50000617,PENDING,12,,,DEFERRED_BUDGET,,7
50000628,PENDING,12,,,DEFERRED_BUDGET,,6
50000629,BOOTSTRAPPED,12,2026-09-19T09:07:35+08:00,2026-09-19T09:07:35+08:00,BOOTSTRAP,12,41
50000630,PENDING,12,,,DEFERRED_BUDGET,,2
50000686,PENDING,12,,,DEFERRED_BUDGET,,0
50000695,PENDING,12,,,DEFERRED_BUDGET,,0
50000701,PENDING,12,,,DEFERRED_BUDGET,,4
50000705,PENDING,12,,,DEFERRED_BUDGET,,2
50000724,PENDING,12,,,DEFERRED_BUDGET,,3
50000739,PENDING,12,,,DEFERRED_BUDGET,,1
50000741,PENDING,12,,,DEFERRED_BUDGET,,0
50000761,BOOTSTRAPPED,2,2026-09-21T17:26:28+08:00,2026-09-21T17:26:28+08:00,BOOTSTRAP,2,2
50000765,BOOTSTRAPPED,12,2026-09-21T10:27:49+08:00,2026-09-21T11:46:29+08:00,REFRESH,2,9
50000768,BOOTSTRAPPED,12,2026-09-21T11:28:58+08:00,2026-09-21T17:36:36+08:00,REFRESH,2,7
50000770,PENDING,12,,,DEFERRED_BUDGET,,2
50000778,PENDING,12,,,DEFERRED_BUDGET,,2
50000783,BOOTSTRAPPED,12,2026-09-21T10:20:29+08:00,2026-09-21T11:46:29+08:00,REFRESH,2,37
50000818,PENDING,12,,,DEFERRED_BUDGET,,0
50000833,PENDING,12,,,DEFERRED_BUDGET,,0
50000837,PENDING,12,,,DEFERRED_BUDGET,,1
50000838,BOOTSTRAPPED,12,2026-09-16T07:05:00+08:00,2026-09-21T07:08:31+08:00,REFRESH,2,70
50000883,PENDING,12,,,DEFERRED_BUDGET,,0
50000890,BOOTSTRAPPED,2,2026-09-21T17:26:28+08:00,2026-09-21T17:26:28+08:00,BOOTSTRAP,2,2
50000894,BOOTSTRAPPED,2,2026-09-21T11:40:16+08:00,2026-09-21T17:36:36+08:00,REFRESH,2,7
50000902,PENDING,12,,,DEFERRED_BUDGET,,6
50000903,PENDING,12,,,DEFERRED_BUDGET,,19
50000905,PENDING,12,,,DEFERRED_BUDGET,,3
50000909,BOOTSTRAPPED,2,2026-09-21T11:40:16+08:00,2026-09-21T17:36:36+08:00,REFRESH,2,5
50000927,PENDING,12,,,DEFERRED_BUDGET,,0
50000928,PENDING,12,,,DEFERRED_BUDGET,,8
50000934,PENDING,12,,,DEFERRED_BUDGET,,1
50000940,PENDING,12,,,DEFERRED_BUDGET,,4
50000943,PENDING,12,,,DEFERRED_BUDGET,,3
50000944,PENDING,12,,,DEFERRED_BUDGET,,0
50000945,PENDING,12,,,DEFERRED_BUDGET,,0
50000947,PENDING,12,,,DEFERRED_BUDGET,,5
50000950,BOOTSTRAPPED,2,2026-09-21T17:36:36+08:00,2026-09-21T17:36:36+08:00,BOOTSTRAP,2,0
50000964,PENDING,12,,,DEFERRED_BUDGET,,2
50000988,PENDING,12,,,DEFERRED_BUDGET,,0
50000998,PENDING,12,,,DEFERRED_BUDGET,,0
50001003,BOOTSTRAPPED,12,2026-09-16T06:55:00+08:00,2026-09-20T13:35:55+08:00,REFRESH,2,25
50001004,PENDING,12,,,DEFERRED_BUDGET,,2
50001069,PENDING,12,,,DEFERRED_BUDGET,,0
50001071,PENDING,12,,,DEFERRED_BUDGET,,2
50001118,PENDING,12,,,DEFERRED_BUDGET,,0
50001125,PENDING,12,,,DEFERRED_BUDGET,,0
50001126,BOOTSTRAPPED,12,2026-09-16T07:05:00+08:00,2026-09-21T17:36:36+08:00,REFRESH,2,50
50001129,PENDING,12,,,DEFERRED_BUDGET,,4
50001152,PENDING,12,,,DEFERRED_BUDGET,,0
50001153,PENDING,12,,,DEFERRED_BUDGET,,1
50001167,PENDING,12,,,DEFERRED_BUDGET,,3
50001183,BOOTSTRAPPED,12,2026-09-16T06:55:00+08:00,2026-09-20T15:09:55+08:00,REFRESH,2,46
50001191,PENDING,12,,,DEFERRED_BUDGET,,5
50001196,PENDING,12,,,DEFERRED_BUDGET,,4
50001217,PENDING,12,,,DEFERRED_BUDGET,,3
50001238,PENDING,12,,,DEFERRED_BUDGET,,1
50001245,PENDING,12,,,DEFERRED_BUDGET,,0
50001246,PENDING,12,,,DEFERRED_BUDGET,,18
50001254,PENDING,12,,,DEFERRED_BUDGET,,18
50001310,PENDING,12,,,DEFERRED_BUDGET,,0
50001314,BOOTSTRAPPED,12,2026-09-21T07:08:31+08:00,2026-09-21T07:08:31+08:00,BOOTSTRAP,12,7
50001318,PENDING,12,,,DEFERRED_BUDGET,,1
50001320,PENDING,12,,,DEFERRED_BUDGET,,2
50001322,PENDING,12,,,DEFERRED_BUDGET,,0
50001338,PENDING,12,,,DEFERRED_BUDGET,,4
50001343,PENDING,12,,,DEFERRED_BUDGET,,8
50001352,PENDING,12,,,DEFERRED_BUDGET,,4
50001353,PENDING,12,,,DEFERRED_BUDGET,,0
50001357,BOOTSTRAPPED,2,2026-09-21T17:36:36+08:00,2026-09-21T17:36:36+08:00,BOOTSTRAP,2,0
50001393,PENDING,12,,,DEFERRED_BUDGET,,2
50001431,PENDING,12,,,DEFERRED_BUDGET,,1
50001451,BOOTSTRAPPED,2,2026-09-21T17:36:36+08:00,2026-09-21T17:36:36+08:00,BOOTSTRAP,2,0
50001456,BOOTSTRAPPED,12,2026-09-16T07:05:00+08:00,2026-09-20T15:09:55+08:00,REFRESH,2,54
50001459,PENDING,12,,,DEFERRED_BUDGET,,3
50001461,PENDING,12,,,DEFERRED_BUDGET,,1
50001462,BOOTSTRAPPED,2,2026-09-21T17:26:28+08:00,2026-09-21T17:26:28+08:00,BOOTSTRAP,2,3
50001464,PENDING,12,,,DEFERRED_BUDGET,,0
50001468,PENDING,12,,,DEFERRED_BUDGET,,4
50001482,PENDING,12,,,DEFERRED_BUDGET,,0
50001491,BOOTSTRAPPED,12,2026-09-20T15:09:55+08:00,2026-09-20T15:09:55+08:00,BOOTSTRAP,12,38
50001493,PENDING,12,,,DEFERRED_BUDGET,,1
50001498,PENDING,12,,,DEFERRED_BUDGET,,0
50001499,PENDING,12,,,DEFERRED_BUDGET,,0
50001509,PENDING,12,,,DEFERRED_BUDGET,,0
50001510,PENDING,12,,,DEFERRED_BUDGET,,0
50001513,PENDING,12,,,DEFERRED_BUDGET,,0
50001515,PENDING,12,,,DEFERRED_BUDGET,,2
50001532,PENDING,12,,,DEFERRED_BUDGET,,2
50001534,PENDING,12,,,DEFERRED_BUDGET,,2
50001536,PENDING,12,,,DEFERRED_BUDGET,,0
50001549,PENDING,12,,,DEFERRED_BUDGET,,1
50001550,PENDING,12,,,DEFERRED_BUDGET,,3
50001551,PENDING,12,,,DEFERRED_BUDGET,,2
50001564,PENDING,12,,,DEFERRED_BUDGET,,0
50001566,PENDING,12,,,DEFERRED_BUDGET,,0
50001577,PENDING,12,,,DEFERRED_BUDGET,,2
50001578,PENDING,12,,,DEFERRED_BUDGET,,0
50001589,PENDING,12,,,DEFERRED_BUDGET,,6
50001595,BOOTSTRAPPED,12,2026-09-16T07:05:00+08:00,2026-09-21T17:36:36+08:00,REFRESH,2,46
50001605,PENDING,12,,,DEFERRED_BUDGET,,2
50001609,BOOTSTRAPPED,12,2026-09-21T09:00:48+08:00,2026-09-21T11:46:29+08:00,REFRESH,2,44
50001613,PENDING,12,,,DEFERRED_BUDGET,,0
50001617,BOOTSTRAPPED,12,2026-09-20T13:35:55+08:00,2026-09-20T13:35:55+08:00,BOOTSTRAP,12,48
50001624,BOOTSTRAPPED,2,2026-09-21T17:26:28+08:00,2026-09-21T17:26:28+08:00,BOOTSTRAP,2,2
50001650,PENDING,2,,,DEFERRED_BUDGET,,0
50001674,PENDING,12,,,DEFERRED_BUDGET,,3
50001685,BOOTSTRAPPED,2,2026-09-21T17:36:36+08:00,2026-09-21T17:36:36+08:00,BOOTSTRAP,2,1
50001689,BOOTSTRAPPED,12,2026-09-21T11:28:58+08:00,2026-09-21T17:36:36+08:00,REFRESH,2,17
50001708,PENDING,12,,,DEFERRED_BUDGET,,0
50001710,PENDING,12,,,DEFERRED_BUDGET,,6
50001712,BOOTSTRAPPED,12,2026-09-16T06:55:00+08:00,2026-09-20T15:09:55+08:00,REFRESH,2,39
50001713,PENDING,12,,,DEFERRED_BUDGET,,0
50001719,PENDING,12,,,DEFERRED_BUDGET,,3
50001722,PENDING,12,,,DEFERRED_BUDGET,,1
50001730,PENDING,12,,,DEFERRED_BUDGET,,7
50001732,PENDING,12,,,DEFERRED_BUDGET,,1
50001741,PENDING,12,,,DEFERRED_BUDGET,,0
50001758,PENDING,12,,,DEFERRED_BUDGET,,0
50001762,PENDING,12,,,DEFERRED_BUDGET,,0
50001766,PENDING,12,,,DEFERRED_BUDGET,,2
50001768,PENDING,12,,,DEFERRED_BUDGET,,0
50001772,PENDING,12,,,DEFERRED_BUDGET,,1
50001774,PENDING,12,,,DEFERRED_BUDGET,,6
50001775,BOOTSTRAPPED,12,2026-09-16T06:55:00+08:00,2026-09-20T15:09:55+08:00,REFRESH,2,37
